case,def_past,def_pres,def_fut,think_pas,think_pre,think_fut,import_pas_pre_fu,relation_pas_pre_fut,tbf1,tbf2,tbf3,tbf4,tbf5,tbf6,tbf7,tbf8,tbf9,aatas1,aatas2,aatas3,aatas4,aatas5,aatas6,aatas7,aatas8,aatas9,aatas10,aatas11,aatas12,aatas13,aatas14,aatas15,aatas16,aatas17,aatas18,aatas19,aatas20,aatas21,aatas22,aatas23,aatas24,aatas25,aatas26,aatas27,aatas28,aatas29,aatas30,sls1,sls2,sls3,sls4,sls5,sls6,sls7,pps1,pps2,pps3,pps4,pps5,pps6,pps7,pps8,pps9,pps10,pps11,pps12,gdms1,gdms2,gdms3,gdms4,gdms5,gdms6,gdms7,gdms8,gdms9,gdms10,gdms11,gdms12,gdms13,gdms14,gdms15,gdms16,gdms17,gdms18,gdms19,gdms20,gdms21,gdms22,gdms23,gdms24,gdms25,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,ysrs1,ysrs2,ysrs3,ysrs4,ysrs5,ysrs6,ysrs7,ysrs8,ysrs9,ysrs10,ysrs11,ysrs12,ysrs13.a,ysrs13.b,ysrs13.c,age,sex,race,income,edu,edu.father,edu.mother
11,Some event/period of time that has passed (months/years),Good and with remarkable moments in which I miss.,"Events that are yet to happen, uncertain events.",4,3,4,4,4,2,2,2,3,3,2,3,3,2,5,2,5,1,4,1,3,2,5,5,4,1,3,4,1,3,4,1,5,2,5,3,1,5,1,4,1,5,3,5,4,1,5,2,5,3,3,3,4,3,5,4,4,4,4,3,2,2,2,3,3,1,1,4,3,3,4,2,2,4,4,3,3,2,4,4,2,4,4,4,4,4,1,3,4,3,3,2,2,3,2,4,4,0,-4,2,4,4,-4,-3,4,4,4,4,3,3,Decrease plastic consumpti,reuse,Use less energy/water,18,2,2,5,6,5,4
12,The set of experiences I lived through that made me what I am today,I see it as a moment that taught/teaches me and that allows me to think and improve.,These are experiences that I will still experience,4,4,4,6,4,2,2,4,3,4,3,3,3,4,4,2,5,2,4,1,4,3,4,3,3,3,4,4,2,2,4,1,4,2,5,3,2,4,2,4,4,4,3,5,4,1,4,4,4,2,4,4,4,4,5,4,5,5,5,5,4,4,4,3,3,4,5,4,5,3,3,4,4,2,4,3,4,3,2,4,2,4,4,3,4,3,1,2,33,2,3,2,3,2,2,3,2,1,-4,4,4,4,-3,-4,1,3,2,2,2,1,,,,18,2,2,3,6,3,3
13,Simple; monotonous; quiet,learning period,Worrisome; uncertain; promising,4,4,4,6,4,3,2,3,1,3,1,3,1,3,3,4,4,1,4,2,3,3,4,1,3,4,3,4,4,3,4,4,3,2,3,3,2,3,1,4,4,3,2,3,5,1,3,5,5,2,2,1,1,1,4,2,2,3,2,3,2,1,1,4,3,2,2,4,1,3,3,4,1,5,4,3,2,1,5,2,3,2,1,5,5,2,4,1,0,3,1,1,3,2,0,1,2,0,-4,1,3,4,-4,-4,3,4,4,2,3,0,Reducing the use of dispos,avoiding waste,Not throwing garbage in the streets and other public places,17,2,1,2,5,3,3
14,As something or a set of events that have already happened,"Moment that passed and can bring good or bad memories, bringing experience and learning.",Like everything that is uncertain to us insofar as it will still happen.,4,4,3,7,3,2,2,2,3,3,4,3,3,3,5,2,5,1,4,1,3,4,5,1,3,2,4,3,2,3,4,1,4,2,4,4,2,4,1,4,3,4,4,4,4,2,3,3,5,3,5,4,4,4,4,4,4,4,4,4,2,2,1,4,3,1,4,5,2,3,4,3,3,5,5,3,4,2,4,3,4,4,2,4,4,4,2,4,1,2,3,2,1,1,1,2,2,1,-3,3,3,3,-3,-3,1,3,3,2,2,3,try to reduce plastic,I take care of the garbage I produce,I save water/energy,19,2,2,3,6,3,3
15,As something you always need to refer to so you don't make the same mistakes.,"Events that served as learning, the things that marked my life.",An unknown.,4,4,4,7,3,2,2,2,1,3,3,3,2,1,3,2,2,3,4,1,3,2,1,2,3,4,4,3,4,1,4,,3,3,1,2,2,1,1,4,4,3,2,3,4,1,4,4,4,2,2,3,2,3,5,3,4,4,3,2,2,2,1,3,4,4,4,4,2,3,3,4,3,4,3,4,2,2,4,4,3,4,1,4,4,2,1,4,3,2,4,1,3,3,2,2,3,2,-4,3,4,3,-4,-4,-1,1,4,0,3,4,I sign Greenpeace petition,I reduce behaviors that cause these evils.,I try to make people around me aware,19,2,2,2,6,2,2
16,"As a set of lived experiences, as my story and the story of things.",Temporal space where we live situations that made us who we are today.,"Like something unexpected, undefined but I feel like living my future.",3,4,4,3,3,3,4,4,2,2,2,2,2,1,4,2,4,2,3,2,4,3,4,2,3,2,4,3,2,2,4,3,4,3,2,2,2,3,2,4,3,4,3,3,3,2,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,2,3,1,2,2,3,2,4,4,2,3,4,3,5,3,2,3,4,4,3,4,4,4,2,4,1,2,4,2,3,3,3,4,4,4,-4,2,3,4,-4,-4,1,1,1,2,2,2,I try to make people aroun,I don't use plastic bags,I don't use incandescent bulbs,19,2,1,2,6,2,2
17,Experiences or experiences that happened.,Learning and memories between good and bad.,Things that are yet to happen.,4,4,4,7,4,4,3,3,2,2,4,2,3,2,3,2,5,1,4,1,4,4,2,5,1,3,1,4,2,2,2,3,2,3,3,4,2,4,1,4,2,4,4,4,4,4,3,2,5,5,5,4,3,2,4,4,4,3,4,2,2,1,1,4,4,2,3,4,3,3,4,4,2,3,4,2,3,3,4,4,4,2,2,3,4,4,2,2,3,3,2,2,3,2,2,1,3,1,-4,4,4,4,-3,-4,1,3,4,3,3,2,PE without garbage,When I go to the beach I pick up trash,Selective collection in my building,19,2,2,5,6,5,5
18,"What I've lived, which has passed.",Confused,what is yet to happen,3,4,4,6,4,4,3,4,2,4,3,4,4,2,4,2,4,1,4,2,4,3,4,1,4,2,5,4,3,1,4,1,5,2,3,1,1,3,1,4,2,4,2,3,4,2,3,3,5,3,5,2,2,2,1,2,1,1,1,2,1,1,2,3,4,2,1,4,2,3,5,3,1,5,5,3,1,1,3,2,3,1,2,2,4,3,3,1,3,2,3,2,2,1,2,3,4,2,-3,3,4,4,-4,-4,-3,4,2,3,2,2,,,,18,2,2,5,6,5,4
19,Time has passed and I was much happier and wanted to go back.,Acts of success and error that will give me experiences,"What will come, time for which the present is lived.",4,4,4,4,3,2,1,3,1,1,1,1,1,2,4,3,5,3,3,1,2,4,1,3,2,1,1,3,4,4,3,2,3,3,4,4,3,4,3,3,3,2,3,4,4,1,5,4,4,3,3,5,5,5,5,3,5,5,5,5,4,3,2,2,4,1,4,3,2,3,4,4,1,4,4,3,5,1,4,2,4,4,2,3,3,4,2,5,3,3,4,1,2,1,2,3,3,4,-4,3,4,3,-4,-4,3,3,3,1,3,2,I don't use straws,I personally work to reduce plastic production,I'm a vegetarian,19,2,2,2,5,3,5
20,"Experiences I lived, construction of thought that modulated who I am, helping me in the present experience and dealing with prob","Something rhetorical that already happens and cannot be changed, just revisited as memories.","My expectations, period that I will learn and build new things.",3,4,3,5,4,3,3,4,4,3,3,2,2,3,2,2,4,1,4,1,3,2,5,5,4,2,3,4,2,2,4,1,4,1,5,1,1,3,3,4,4,3,1,4,4,1,3,2,4,1,3,3,2,4,4,4,4,4,4,4,4,2,3,4,2,2,4,5,4,4,4,4,2,5,3,2,3,2,4,4,4,3,2,4,4,4,2,3,4,4,2,2,3,3,1,1,2,2,-4,3,4,2,-4,-4,3,4,4,4,3,3,waste reduction,Recycling,,18,2,2,2,5,3,3
21,"Something that has already passed, has been lived completely, there are only remnants in the memories and memories.",Events that helped me evolve,"A future is something to be sought after, not defined and open to countless possibilities. The still uncertain that is not ours.",3,4,2,2,4,1,1,2,2,3,3,3,2,1,3,3,2,1,3,2,1,3,1,1,3,4,3,3,4,3,3,2,3,3,2,3,3,2,1,3,4,3,3,2,3,1,4,4,3,2,2,1,2,2,2,2,4,2,2,4,4,3,3,4,3,2,2,4,2,3,2,2,2,3,4,3,2,2,4,2,3,2,1,4,2,1,2,2,4,4,4,2,3,2,1,2,2,3,-4,-1,3,1,-3,-1,1,0,-1,-3,-1,-1,I'm not,,,19,2,2,2,5,4,3
22,Everything that happened also influences how things are today.,Something that has already happened and that reflects a lot on who we are and how we ended up in this present.,What's to come. It is planable but not predictable.,2,4,4,7,4,4,3,5,3,5,4,3,2,3,3,4,4,4,4,1,2,4,3,4,3,2,2,3,2,3,2,2,3,4,3,4,4,2,1,2,2,3,4,2,2,1,4,2,3,3,2,5,5,5,5,4,4,5,5,5,2,2,1,4,3,2,5,5,4,3,4,4,3,3,5,3,5,4,4,4,4,5,4,3,4,4,2,5,3,1,4,3,3,3,2,1,2,3,-4,4,4,1,-4,-4,4,4,4,4,4,4,Using bamboo straws to red,,,19,2,2,4,5,4,4
23,"Like the set of experiences that have already been lived, that have passed.","High that has already been experienced, something that evolves.","Like what is yet to come, the set of experiences that have not yet been experienced but will be.",4,4,4,7,4,3,3,4,2,4,3,4,3,3,4,3,4,2,3,2,3,4,4,2,3,2,3,3,3,2,4,2,4,4,4,2,3,2,2,4,3,4,3,4,4,1,4,3,5,4,5,2,3,3,4,3,4,4,4,4,3,4,2,2,5,4,3,4,3,5,4,4,3,3,4,5,3,2,3,5,4,3,3,3,4,4,3,3,2,4,2,2,2,2,2,3,3,2,-4,3,4,3,-4,-4,4,4,4,3,4,4,Garbage collection project,Personal reduction in the use of straws and disposables,Decreased consumption of animal meat,17,2,2,5,5,4,5
24,Time situated after the now.,,"Situation that is about to happen, time ahead of the present.",4,4,4,4,4,4,2,3,2,4,3,4,3,4,4,5,5,1,2,1,4,5,5,3,1,5,1,3,3,2,1,4,5,5,3,5,5,1,1,1,4,4,5,,1,5,4,4,3,5,3,2,4,2,2,4,3,3,5,4,3,4,2,5,5,3,4,2,5,4,3,3,5,5,5,5,4,3,4,5,4,3,2,4,4,4,3,2,4,4,4,3,2,1,2,4,4,4,-4,3,4,4,-4,-4,3,4,3,4,3,3,I produce less garbage,beach cleaning,,18,2,2,3,5,4,4
25,Something that cannot be changed,,"What lies ahead, sometimes cause for anxiety.",4,3,4,7,3,2,3,3,2,2,1,4,3,4,4,5,1,2,2,1,1,5,2,5,2,3,3,2,4,3,1,3,2,5,2,1,4,1,1,2,3,4,5,1,2,1,5,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,4,3,5,4,5,5,5,1,5,4,5,5,3,2,5,5,5,3,2,5,1,5,4,4,4,2,1,0,0,4,4,4,-4,2,4,1,-4,-4,1,1,3,4,1,2,,,,18,2,2,2,5,3,3
26,,,The next gift.,3,4,3,6,4,3,1,3,1,2,4,3,2,3,2,2,3,1,4,1,4,2,3,1,4,2,3,4,3,2,4,2,3,2,3,3,2,2,1,4,4,3,1,3,4,2,2,4,4,1,3,3,3,2,4,4,4,4,4,4,2,2,2,5,3,1,4,5,1,3,4,3,2,5,4,3,4,2,5,2,4,4,2,4,4,4,2,2,1,2,2,2,3,3,3,1,2,1,-4,1,4,4,-4,-4,3,4,4,-1,3,0,Throw rubbish in the prope,Avoid using plastics/disposables,reuse,18,2,1,1,5,2,2
27,"Set of experiences and events that precede the current moment, it is a previous period of time.",Bad with bad choices,"What will be built, experience, period after the current/current period.",3,4,4,6,4,4,2,3,2,4,4,3,2,3,5,4,5,2,4,1,3,3,5,3,4,1,3,4,1,2,4,1,4,4,5,2,2,4,1,5,1,4,5,5,4,2,3,1,5,4,4,2,1,2,4,2,4,3,4,4,1,1,1,5,4,3,1,4,2,4,4,3,1,4,3,4,2,2,4,2,3,2,1,4,5,4,3,2,1,3,2,4,2,2,2,1,3,1,-3,4,4,3,-4,-4,3,4,3,3,2,4,Action to clean mangroves,Vegetarianism,plastic reduction,17,2,2,5,5,3,5
28,A fragment before the present,Past is all that ever happened,A hypothetical projection.,4,4,4,2,4,2,4,4,4,3,3,4,4,2,4,3,3,1,4,1,4,3,4,1,4,2,4,4,2,2,4,2,4,2,3,3,2,2,4,4,3,4,2,3,4,2,3,2,4,2,2,3,4,3,3,2,3,4,3,4,2,2,2,4,4,4,5,5,2,4,3,5,4,3,4,4,4,2,4,4,4,2,2,4,5,3,2,4,2,1,2,3,3,3,2,3,2,2,-4,3,-4,3,-3,-4,4,2,3,3,3,4,,,,18,2,2,4,5,4,4
29,The past is all the experiences lived by the individual.,Events that have already occurred that can be used to learn about the present and anticipate the future.,The future is a perspective of time that has not yet arrived.,4,4,4,6,3,3,3,4,3,5,4,4,3,4,5,2,4,1,4,1,5,4,5,5,3,4,5,4,1,1,3,1,5,1,4,1,1,4,1,5,1,5,4,4,5,4,4,3,5,3,5,4,4,5,5,3,2,5,5,5,2,2,1,3,3,1,4,5,5,4,5,5,3,4,5,3,4,4,3,5,4,3,4,3,5,1,3,2,2,4,4,3,3,3,3,3,4,3,-4,3,4,3,-4,-4,4,4,4,3,3,3,,,,18,1,6,2,5,3,3
30,"Something that has passed, that is neither in the present nor in the future",Choices and past moments that can serve as learning and development.,"Something that hasn't happened yet and might not even happen, the future is uncertainty.",2,4,3,6,4,2,4,5,1,4,1,3,1,4,2,1,4,1,5,3,3,1,3,1,4,2,4,5,5,1,4,2,5,1,3,3,1,1,4,5,3,4,2,2,5,1,5,4,5,2,1,1,1,1,3,2,1,2,1,5,3,2,1,4,4,3,1,5,1,2,1,4,3,5,4,4,1,3,5,4,1,1,1,3,5,1,2,1,2,1,2,3,4,,,,,,-2,1,4,3,-4,1,4,2,4,0,4,4,"None at the moment, unfort","At least not physically, only through social media.",,18,1,2,1,5,,3
31,Questions that served as teaching and experience to form what I am in the present.,Like the series of happenings that help in the formation of the being.,A time class delimited by my actions in today (now / present).,4,4,4,6,3,4,3,4,2,3,4,3,3,2,5,4,5,1,3,1,3,4,4,1,3,3,3,,4,4,4,1,3,3,3,2,3,4,1,3,3,3,4,5,3,5,5,4,1,3,3,2,2,5,5,4,4,4,4,4,3,1,3,5,3,2,2,5,2,3,4,4,2,5,4,4,3,2,,3,2,4,2,4,4,3,1,3,2,2,4,2,2,3,2,2,4,3,-4,4,4,4,-4,-4,3,4,4,2,3,1,,,,19,2,6,2,5,3,4
32,Like a sequence of events and memories that have already happened.,Something that passed.,Like the set of consequences of my actions in the present and past.,3,4,4,6,4,2,2,3,4,4,2,4,4,1,5,2,4,1,3,1,4,2,4,1,4,2,5,4,2,2,4,2,5,2,3,1,2,3,2,4,2,4,4,4,4,2,4,2,4,3,3,4,2,4,4,4,4,4,4,4,2,2,2,2,4,1,5,3,4,4,5,4,2,2,5,4,3,2,2,4,4,4,2,3,4,2,4,4,1,3,4,2,1,1,2,4,0,3,-4,3,4,4,-4,-4,4,4,4,3,4,3,Separation and proper disp,I work for a company committed to the environment.,,18,2,6,2,5,2,3
33,"Period of time no longer in force, where all the aspects that happened are already known, being they immutable.",Something that helped me progress.,Period of time that is not effective but will be effective soon is unpredictable but may change.,3,4,4,7,3,4,4,4,3,3,3,3,4,4,4,3,4,1,4,3,4,2,2,1,2,3,4,3,3,1,4,3,4,3,4,1,2,3,1,4,2,4,2,3,3,1,5,5,4,5,2,5,3,3,3,5,5,3,5,5,2,2,2,2,2,2,4,4,4,3,3,3,2,4,3,2,2,2,4,3,2,4,2,3,4,2,2,4,1,2,2,2,2,2,2,3,3,1,2,4,4,4,-4,-4,-3,4,4,4,4,2,I don't use aerosol.,Make people aware.,,19,2,,3,5,3,4
34,What already happened.,Like something that has no return.,"What comes after the present, as a consequence.",4,4,4,6,3,3,1,2,1,3,2,3,1,2,5,4,4,4,2,1,3,5,4,2,2,3,2,1,2,2,2,3,3,5,5,2,3,4,2,3,4,3,5,4,3,1,5,4,3,2,5,4,4,5,5,4,5,5,5,5,3,3,2,4,3,1,5,5,4,3,5,3,4,5,5,3,5,3,5,2,5,5,3,4,4,5,1,5,4,4,4,2,2,1,1,3,4,4,-4,4,4,3,-4,-4,2,3,3,4,4,3,None :(,,,18,2,2,2,5,4,4
35,"A time or era that has passed and that carries our choices, conflicts, etc.","Memories, past moments that help us define the present.","Something abstract. The future is the possibility of the possibilities of choices, decisions and conflicts of the past and the p",4,4,4,4,4,4,3,4,2,1,3,1,4,4,5,2,4,1,4,2,4,3,4,5,4,3,4,4,2,2,4,1,5,2,4,1,1,4,1,4,2,5,2,4,4,2,3,2,4,2,2,3,4,4,5,4,4,5,4,4,4,5,2,3,2,1,4,2,4,2,4,2,4,4,5,2,4,4,5,4,2,5,3,2,4,4,1,2,1,2,1,3,3,3,2,3,2,3,-4,2,4,4,-4,1,2,3,-3,4,2,-2,,,,19,1,2,3,5,2,3
36,That which existed before the present moment and shapes what is and what will be.,"Something that passed, that is part of the history of my life and the world.",What is to be.,4,4,4,7,4,2,1,2,1,1,1,3,1,2,5,4,5,2,4,1,5,4,5,2,3,1,4,3,3,3,4,1,5,2,5,1,2,4,2,4,2,4,2,5,4,1,4,1,5,2,5,5,5,5,5,3,5,4,5,5,2,2,1,1,4,1,5,2,,,5,4,4,4,4,4,5,3,4,5,4,5,2,2,4,4,1,5,1,3,3,2,2,1,1,4,2,3,-4,3,4,4,-4,-4,2,3,2,2,4,4,I'm a vegetarian,None official but I accept invitations (82) 98207-7957,,18,2,2,,5,5,5
37,"I define the past as something left behind, something that has already happened.",It was necessary for growth and learning.,"I define the future as the after, what will still happen, for example tomorrow is already considered future.",1,4,3,4,2,5,2,2,2,1,3,2,1,2,5,2,3,3,5,3,4,1,3,1,4,1,5,4,3,3,5,3,4,1,4,3,1,3,1,5,3,4,1,4,5,4,3,1,5,3,1,1,4,1,2,4,3,1,2,3,2,4,1,4,4,3,3,4,1,3,3,4,3,4,3,3,4,1,4,5,3,1,1,4,4,3,3,1,2,2,1,4,2,2,4,2,2,0,-2,4,-1,-4,-1,-1,4,3,4,2,3,4,Stop littering,Stop producing pesticides,Be careful with oil production,18,2,6,1,5,2,2
38,"Events that are gone and that can only be rescued through memory, I no longer have access to, passed.","It's the now, the moment that gives me the possibility to make choices and live in that exact moment.","It's what will come, it could be tomorrow as well as the other years that will probably come.",4,4,4,7,4,1,1,2,1,1,2,1,1,1,3,4,3,1,3,4,1,4,3,1,3,3,3,3,4,3,4,4,2,2,3,2,2,1,4,3,4,3,4,2,3,1,4,3,3,1,1,1,1,4,1,3,3,4,4,5,4,3,1,3,2,1,4,3,5,2,4,4,3,4,3,1,3,4,3,4,3,4,3,4,3,1,1,1,3,3,2,1,0,2,0,2,3,2,2,2,4,1,-4,-4,3,3,4,3,4,3,Awareness of people not to,,,18,2,6,1,5,2,1
39,"Firstly as a learning experience, after that I perceive it as ""I'm afraid it's gone"".",It could be today.,"What will it be, without much concern.",3,4,3,6,3,1,1,2,2,3,2,3,2,1,5,5,3,5,1,4,2,4,4,5,3,2,2,2,3,4,3,1,3,2,,2,4,2,1,2,3,1,4,2,2,2,4,4,3,3,3,5,4,3,5,3,5,4,5,5,4,3,3,4,4,2,5,4,4,4,4,4,4,4,5,4,5,4,3,5,3,4,3,3,5,4,3,5,3,3,4,0,1,0,2,4,0,3,-4,4,4,3,-4,-4,4,3,4,4,4,0,,,,19,2,6,2,5,3,4
40,Indecisions of what I would become,Concern about the professional future.,Financial stability.,3,4,4,6,3,1,1,2,1,3,1,2,1,1,5,4,2,3,2,2,5,3,3,1,2,3,5,2,3,1,3,2,5,3,2,1,3,1,1,3,3,5,1,1,3,1,5,3,3,4,2,5,4,5,5,5,3,5,5,5,5,5,1,5,5,5,1,1,4,5,1,5,5,2,1,5,5,1,1,1,5,5,4,1,5,1,1,5,3,4,3,2,1,1,1,3,4,3,-4,4,4,4,-2,-4,-3,4,4,4,4,4,raise awareness,Separate the trash,Avoid throwing garbage in the street,18,1,1,2,5,3,3
41,The former opposite of now.,The fine line between the future and the past.,Moment after present,4,4,4,2,3,1,1,1,1,4,1,3,1,1,4,2,2,1,5,2,3,1,4,1,4,3,5,5,3,1,5,5,5,1,3,1,1,1,1,5,4,5,3,1,5,5,5,4,4,3,1,1,3,1,4,3,3,3,2,5,3,2,2,4,5,4,3,5,3,3,3,4,2,4,3,4,2,2,4,4,3,2,3,4,5,3,3,2,1,2,2,3,4,3,3,3,3,2,-4,2,3,3,-4,-3,1,4,4,-3,3,1,,,,19,2,1,2,5,3,2
